bandwidth,exec_time,benchmark,speedup,num_devices,payload_agg
1,0.167684,0.1736289,0.034236,6,4.8022
1.75,0.167103,0.1736289,0.037584,5,4.8022
1.875,0.161688,0.1736289,0.06877,5,30.5293
2,0.159551,0.1736289,0.081078,5,30.5293
2.5,0.156347,0.1736289,0.099532,5,30.5293
3,0.152125,0.1736289,0.123848,6,39.4174
5,0.151453,0.1736289,0.127721,5,41.4943
8,0.149422,0.1736289,0.139416,4,62.1385
10,0.148551,0.1736289,0.144432,6,62.1385
INF,0.147146,0.1736289,0.152525,3,110.6643
