layer2,,-1,-1,20.48 Mb,-1
layer3,,-1,-1,10.24 Mb,-1
layer4,,-1,-1,5.12 Mb,-1
inner_3,,-1,-1,0.64 Mb,-1
layer_3,,-1,-1,0.64 Mb,-1
inner_2,,-1,-1,2.56 Mb,-1
interpolate__2,,-1,-1,2.56 Mb,-1
layer_2,,-1,-1,2.56 Mb,-1
inner_1,,-1,-1,10.24 Mb,-1
interpolate__1,,-1,-1,10.24 Mb,-1
layer_1,,-1,-1,10.24 Mb,-1
inner_0,,-1,-1,40.96 Mb,-1
interpolate__0,,-1,-1,40.96 Mb,-1
layer_0,,-1,-1,40.96 Mb,-1
extra,,-1,-1,0.1731 Mb,-1
rpn_parallel_f0,,-1,-1,0.028 Mb,-1
rpn_parallel_f1,,-1,-1,0.028 Mb,-1
rpn_parallel_f2,,-1,-1,0.028 Mb,-1
rpn_parallel_f3,,-1,-1,0.028 Mb,-1
rpn_parallel_f4,,-1,-1,0.0142 Mb,-1
rpn_merger,,-1,-1,0.02 Mb,-1
roi_box_pool,,-1,-1,50.176 Mb,-1
fc6,,-1,-1,4.096 Mb,-1
fc7,,-1,-1,4.096 Mb,-1
cls_score,,-1,-1,0.364 Mb,-1
bbox_pred,,-1,-1,1.456 Mb,-1
postprocess_detections,,-1,-1,IGNORED,-1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,

transform,0.001246,-1,-1,7.68 Mb,-1
conv1,0.002467,-1,-1,40.96 Mb,-1
bn1,0.001946,-1,-1,40.96 Mb,-1
relu,0.000656,-1,-1,40.96 Mb,-1
maxpool,0.000716,-1,-1,10.24 Mb,-1
layer1,0.029086,-1,-1,40.96 Mb,-1
layer2,0.031948,-1,-1,20.48 Mb,-1
layer3,0.038318,-1,-1,10.24 Mb,-1
layer4,0.020094,-1,-1,5.12 Mb,-1
inner_3,0.000682,-1,-1,0.64 Mb,-1
layer_3,0.000567,-1,-1,0.64 Mb,-1
inner_2,0.00133,-1,-1,2.56 Mb,-1
interpolate__2,6.4e-05,-1,-1,2.56 Mb,-1
layer_2,0.001807,-1,-1,2.56 Mb,-1
inner_1,0.002261,-1,-1,10.24 Mb,-1
interpolate__1,0.000209,-1,-1,10.24 Mb,-1
layer_1,0.005963,-1,-1,10.24 Mb,-1
inner_0,0.005073,-1,-1,40.96 Mb,-1
interpolate__0,0.0008,-1,-1,40.96 Mb,-1
layer_0,0.021647,-1,-1,40.96 Mb,-1
extra,1.6e-05,-1,-1,0.1731 Mb,-1
rpn_parallel_f0,0.029482,-1,-1,0.028 Mb,-1
rpn_parallel_f1,0.011269,-1,-1,0.028 Mb,-1
rpn_parallel_f2,0.006277,-1,-1,0.028 Mb,-1
rpn_parallel_f3,0.0055,-1,-1,0.028 Mb,-1
rpn_parallel_f4,0.00545,-1,-1,0.0142 Mb,-1
rpn_merger,0.004884,-1,-1,0.02 Mb,-1
roi_box_pool,0.013938,-1,-1,50.176 Mb,-1
fc6,0.027089,-1,-1,4.096 Mb,-1
fc7,0.001791,-1,-1,4.096 Mb,-1
cls_score,0.000221,-1,-1,0.364 Mb,-1
bbox_pred,0.000712,-1,-1,1.456 Mb,-1
postprocess_detections,0.005173,-1,-1,IGNORED,-1
