layername,device
input,0
transform,0
conv1,0
bn1,0
relu,0
maxpool,0
layer1,0
layer2,0
layer3,0
layer4,0
inner_3,0
layer_3,0
inner_2,2
interpolate__2,0
add__2,3
layer_2,3
inner_1,4
interpolate__1,3
add__1,5
layer_1,5
inner_0,4
interpolate__0,5
add__0,4
layer_0,4
extra,0
rpn_parallel_f0,4
rpn_parallel_f1,5
rpn_parallel_f2,3
rpn_parallel_f3,1
rpn_parallel_f4,0
rpn_merger,4
box_roi_pool,4
fc6,4
fc7,4
cls_score,4
bbox_pred,4
postprocess_detections,4
resize,2
output,2
