bandwidth,optimizer,energy,device,payload
250.0,-253.83808593750013,0,2,{}
500.0,-253.83808593750013,0,2,{}
750.0,-114.67063903704519,0,2,{}
1000.0,-114.30890754270018,0,2,{}
1250.0,-120.46296113861962,0,2,{}
1500.0,-208.80211186339506,0,2,{}
1750.0,-208.29185721192317,0,2,{}
2000.0,-208.0256421035233,0,2,{}
2250.0,-207.8185859081011,0,2,{}
