layername,device
input,0
transform,0
conv1,0
bn1,0
relu,0
maxpool,0
layer1,0
layer2,0
layer3,0
layer4,0
inner_3,0
layer_3,0
inner_2,2
interpolate__2,0
add__2,3
layer_2,3
inner_1,0
interpolate__1,3
add__1,3
layer_1,3
inner_0,0
interpolate__0,3
add__0,3
layer_0,3
extra,1
rpn_parallel_f0,3
rpn_parallel_f1,3
rpn_parallel_f2,3
rpn_parallel_f3,0
rpn_parallel_f4,1
rpn_merger,3
box_roi_pool,3
fc6,3
fc7,3
cls_score,3
bbox_pred,3
postprocess_detections,3
resize,4
output,4
