bandwidth,exec_time,benchmark,speedup,num_devices,payload_agg
0.25,1.410551,1.458861,0.033115,5,17.6239
0.375,1.329879,1.458861,0.088413,5,34.2565
0.5,1.30284,1.458861,0.106947,6,17.6239
0.625,1.279325,1.458861,0.123066,6,55.617
0.75,1.271202,1.458861,0.128634,6,62.6769
1,1.264199,1.458861,0.133434,6,71.8519
2,1.249646,1.458861,0.143409,6,108.1942
3,1.249423,1.458861,0.143562,6,108.1937
5,1.249423,1.458861,0.143562,6,108.1937
INF,1.249424,1.458861,0.143562,4,123.2814
