bandwidth,optimizer,energy,device,payload
250,-33.234294608500136,16483.13119130535,4,{'dark2': {'count': 1| 'size': 15.625}| 'dark3': {'count': 2| 'size': 7.8125}| 'upsample_P4': {'count': 1| 'size': 7.8125}| 'reduce_conv1': {'count': 1| 'size': 1.9531}| 'lateral_conv0': {'count': 1| 'size': 0.9766}| 'stems_2': {'count': 1| 'size': 0.4883}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_p3': {'count': 1| 'size': 7.8125}| 'partial_out_1': {'count': 1| 'size': 0.5188}| 'partial_out_2': {'count': 1| 'size': 0.1297}}
500,-9.568628129188454,11167.552275973865,4,{'dark2': {'count': 1| 'size': 15.625}| 'dark3': {'count': 2| 'size': 7.8125}| 'upsample_P4': {'count': 1| 'size': 7.8125}| 'reduce_conv1': {'count': 1| 'size': 1.9531}| 'lateral_conv0': {'count': 1| 'size': 0.9766}| 'stems_2': {'count': 1| 'size': 0.4883}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'stems_1': {'count': 1| 'size': 1.9531}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 7.8125}| 'stems_0': {'count': 1| 'size': 7.8125}| 'reg_preds_0': {'count': 1| 'size': 0.0977}| 'obj_preds_0': {'count': 1| 'size': 0.0244}| 'partial_out_0': {'count': 1| 'size': 2.0752}| 'partial_out_1': {'count': 1| 'size': 0.5188}}
750,-2.1794284231916663,6884.717011476056,4,{'dark2': {'count': 1| 'size': 15.625}| 'dark3': {'count': 2| 'size': 7.8125}| 'upsample_P4': {'count': 1| 'size': 7.8125}| 'reduce_conv1': {'count': 1| 'size': 1.9531}| 'C3_n3': {'count': 1| 'size': 3.9062}| 'lateral_conv0': {'count': 1| 'size': 0.9766}| 'stems_2': {'count': 1| 'size': 0.4883}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'stems_1': {'count': 1| 'size': 1.9531}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'stems_0': {'count': 1| 'size': 7.8125}| 'reg_preds_0': {'count': 1| 'size': 0.0977}| 'obj_preds_0': {'count': 1| 'size': 0.0244}| 'partial_out_0': {'count': 1| 'size': 2.0752}| 'partial_out_1': {'count': 1| 'size': 0.5188}}
1000,2.6265899952440748,5433.877660534236,4,{'dark2': {'count': 1| 'size': 15.625}| 'dark3': {'count': 2| 'size': 7.8125}| 'upsample_P4': {'count': 1| 'size': 7.8125}| 'reduce_conv1': {'count': 1| 'size': 1.9531}| 'lateral_conv0': {'count': 1| 'size': 0.9766}| 'stems_2': {'count': 1| 'size': 0.4883}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 3.9062}| 'stems_1': {'count': 1| 'size': 1.9531}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 7.8125}| 'stems_0': {'count': 1| 'size': 7.8125}| 'reg_preds_0': {'count': 1| 'size': 0.0977}| 'obj_preds_0': {'count': 1| 'size': 0.0244}| 'partial_out_2': {'count': 1| 'size': 0.1297}}
1250,5.44099615201695,4883.568244661907,4,{'dark2': {'count': 1| 'size': 15.625}| 'dark3': {'count': 2| 'size': 7.8125}| 'upsample_P4': {'count': 1| 'size': 7.8125}| 'reduce_conv1': {'count': 1| 'size': 1.9531}| 'lateral_conv0': {'count': 1| 'size': 0.9766}| 'stems_2': {'count': 1| 'size': 0.4883}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 3.9062}| 'stems_1': {'count': 1| 'size': 1.9531}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 7.8125}| 'stems_0': {'count': 1| 'size': 7.8125}| 'reg_preds_0': {'count': 1| 'size': 0.0977}| 'obj_preds_0': {'count': 1| 'size': 0.0244}| 'partial_out_2': {'count': 1| 'size': 0.1297}}
1500,6.940596941790247,4229.835012624322,4,{'dark2': {'count': 1| 'size': 15.625}| 'dark3': {'count': 2| 'size': 7.8125}| 'upsample_P4': {'count': 1| 'size': 7.8125}| 'reduce_conv1': {'count': 1| 'size': 1.9531}| 'lateral_conv0': {'count': 1| 'size': 0.9766}| 'stems_2': {'count': 1| 'size': 0.4883}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 3.9062}| 'stems_1': {'count': 1| 'size': 1.9531}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 7.8125}| 'stems_0': {'count': 1| 'size': 7.8125}| 'reg_preds_0': {'count': 1| 'size': 0.0977}| 'obj_preds_0': {'count': 1| 'size': 0.0244}| 'partial_out_0': {'count': 1| 'size': 2.0752}| 'partial_out_1': {'count': 1| 'size': 0.5188}}
1750,7.986105260557252,3769.863349930041,4,{'dark2': {'count': 1| 'size': 15.625}| 'dark3': {'count': 2| 'size': 7.8125}| 'upsample_P4': {'count': 1| 'size': 7.8125}| 'reduce_conv1': {'count': 1| 'size': 1.9531}| 'lateral_conv0': {'count': 1| 'size': 0.9766}| 'stems_2': {'count': 1| 'size': 0.4883}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 3.9062}| 'stems_1': {'count': 1| 'size': 1.9531}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 7.8125}| 'stems_0': {'count': 1| 'size': 7.8125}| 'reg_preds_0': {'count': 1| 'size': 0.0977}| 'obj_preds_0': {'count': 1| 'size': 0.0244}| 'partial_out_0': {'count': 1| 'size': 2.0752}| 'partial_out_1': {'count': 1| 'size': 0.5188}}
2000,8.770236499632503,3325.6544235152064,4,{'dark2': {'count': 1| 'size': 15.625}| 'dark3': {'count': 2| 'size': 7.8125}| 'upsample_P4': {'count': 1| 'size': 7.8125}| 'reduce_conv1': {'count': 1| 'size': 1.9531}| 'lateral_conv0': {'count': 1| 'size': 0.9766}| 'stems_2': {'count': 1| 'size': 0.4883}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 3.9062}| 'stems_1': {'count': 1| 'size': 1.9531}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 7.8125}| 'stems_0': {'count': 1| 'size': 7.8125}| 'reg_preds_0': {'count': 1| 'size': 0.0977}| 'obj_preds_0': {'count': 1| 'size': 0.0244}| 'partial_out_0': {'count': 1| 'size': 2.0752}| 'partial_out_1': {'count': 1| 'size': 0.5188}}
2250,9.380116352246604,2965.4392472457953,4,{'dark2': {'count': 1| 'size': 15.625}| 'dark3': {'count': 2| 'size': 7.8125}| 'upsample_P4': {'count': 1| 'size': 7.8125}| 'reduce_conv1': {'count': 1| 'size': 1.9531}| 'lateral_conv0': {'count': 1| 'size': 0.9766}| 'stems_2': {'count': 1| 'size': 0.4883}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 3.9062}| 'stems_1': {'count': 1| 'size': 1.9531}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 7.8125}| 'stems_0': {'count': 1| 'size': 7.8125}| 'reg_preds_0': {'count': 1| 'size': 0.0977}| 'obj_preds_0': {'count': 1| 'size': 0.0244}| 'partial_out_0': {'count': 1| 'size': 2.0752}| 'partial_out_1': {'count': 1| 'size': 0.5188}}
