layername,device
input,0
transform,0
conv1,0
bn1,0
relu,0
maxpool,0
layer1,0
layer2,0
layer3,0
layer4,0
inner_3,0
layer_3,0
inner_2,0
interpolate__2,0
add__2,0
layer_2,0
inner_1,1
interpolate__1,0
add__1,1
layer_1,0
inner_0,0
interpolate__0,1
add__0,1
layer_0,1
extra,1
rpn_parallel_f0,1
rpn_parallel_f1,0
rpn_parallel_f2,0
rpn_parallel_f3,0
rpn_parallel_f4,1
rpn_merger,1
box_roi_pool,1
fc6,1
fc7,1
cls_score,1
bbox_pred,1
postprocess_detections,1
resize,0
output,0
