bandwidth,optimizer,energy,device,payload
250.0,-1766.3559963111354,0,2,{}
500.0,-1765.6383724480047,0,2,{}
750.0,-1765.399164493628,0,2,{}
1000.0,-1765.2795605164397,0,2,{}
1250.0,-1765.2077981301265,0,2,{}
1500.0,-1765.1599565392512,0,2,{}
1750.0,-1765.12578397434,0,2,{}
2000.0,-1765.100154550657,0,2,{}
2250.0,-1765.080220554459,0,2,{}
