bandwidth,optimizer,energy,device,payload
250,-45.536511466833986,0,3,{'layer_3': {'count': 2| 'size': 0.64}| 'inner_3': {'count': 1| 'size': 0.64}| 'layer3': {'count': 1| 'size': 10.24}| 'inner_2': {'count': 1| 'size': 2.56}| 'add__2': {'count': 1| 'size': 2.56}| 'layer2': {'count': 1| 'size': 20.48}| 'inner_1': {'count': 1| 'size': 10.24}| 'add__1': {'count': 1| 'size': 10.24}| 'layer1': {'count': 1| 'size': 40.96}| 'inner_0': {'count': 1| 'size': 40.96}| 'rpn_parallel_f1': {'count': 1| 'size': 0.028}| 'rpn_parallel_f2': {'count': 1| 'size': 0.028}| 'rpn_parallel_f3': {'count': 1| 'size': 0.028}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'extra': {'count': 1| 'size': 0.1731}}
500,-20.868703717970348,0,3,{'layer_3': {'count': 2| 'size': 0.64}| 'inner_3': {'count': 1| 'size': 0.64}| 'layer3': {'count': 1| 'size': 10.24}| 'inner_2': {'count': 1| 'size': 2.56}| 'add__2': {'count': 1| 'size': 2.56}| 'layer2': {'count': 1| 'size': 20.48}| 'inner_1': {'count': 1| 'size': 10.24}| 'add__1': {'count': 1| 'size': 10.24}| 'layer1': {'count': 1| 'size': 40.96}| 'inner_0': {'count': 1| 'size': 40.96}| 'rpn_parallel_f1': {'count': 1| 'size': 0.028}| 'rpn_parallel_f2': {'count': 1| 'size': 0.028}| 'rpn_parallel_f3': {'count': 1| 'size': 0.028}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'extra': {'count': 1| 'size': 0.1731}}
750,-10.070726502645101,0,3,{'layer_3': {'count': 2| 'size': 0.64}| 'inner_3': {'count': 1| 'size': 0.64}| 'layer3': {'count': 1| 'size': 10.24}| 'inner_2': {'count': 1| 'size': 2.56}| 'add__2': {'count': 1| 'size': 2.56}| 'layer2': {'count': 1| 'size': 20.48}| 'inner_1': {'count': 1| 'size': 10.24}| 'add__1': {'count': 1| 'size': 10.24}| 'layer1': {'count': 1| 'size': 40.96}| 'inner_0': {'count': 1| 'size': 40.96}| 'rpn_parallel_f1': {'count': 1| 'size': 0.028}| 'rpn_parallel_f2': {'count': 1| 'size': 0.028}| 'rpn_parallel_f3': {'count': 1| 'size': 0.028}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'extra': {'count': 1| 'size': 0.1731}}
1000,-4.671737894982456,0,3,{'layer_3': {'count': 2| 'size': 0.64}| 'inner_3': {'count': 1| 'size': 0.64}| 'layer3': {'count': 1| 'size': 10.24}| 'inner_2': {'count': 1| 'size': 2.56}| 'add__2': {'count': 1| 'size': 2.56}| 'layer2': {'count': 1| 'size': 20.48}| 'inner_1': {'count': 1| 'size': 10.24}| 'add__1': {'count': 1| 'size': 10.24}| 'layer1': {'count': 1| 'size': 40.96}| 'inner_0': {'count': 1| 'size': 40.96}| 'rpn_parallel_f1': {'count': 1| 'size': 0.028}| 'rpn_parallel_f2': {'count': 1| 'size': 0.028}| 'rpn_parallel_f3': {'count': 1| 'size': 0.028}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'extra': {'count': 1| 'size': 0.1731}}
1250,-1.593979432979637,0,3,{'layer_3': {'count': 2| 'size': 0.64}| 'inner_3': {'count': 1| 'size': 0.64}| 'layer3': {'count': 1| 'size': 10.24}| 'inner_2': {'count': 1| 'size': 2.56}| 'add__2': {'count': 1| 'size': 2.56}| 'layer2': {'count': 1| 'size': 20.48}| 'inner_1': {'count': 1| 'size': 10.24}| 'add__1': {'count': 1| 'size': 10.24}| 'layer1': {'count': 1| 'size': 40.96}| 'inner_0': {'count': 1| 'size': 40.96}| 'rpn_parallel_f1': {'count': 1| 'size': 0.028}| 'rpn_parallel_f2': {'count': 1| 'size': 0.028}| 'rpn_parallel_f3': {'count': 1| 'size': 0.028}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'extra': {'count': 1| 'size': 0.1731}}
1500,0.4385809840227637,0,3,{'layer_3': {'count': 2| 'size': 0.64}| 'inner_3': {'count': 1| 'size': 0.64}| 'layer3': {'count': 1| 'size': 10.24}| 'inner_2': {'count': 1| 'size': 2.56}| 'add__2': {'count': 1| 'size': 2.56}| 'layer2': {'count': 1| 'size': 20.48}| 'inner_1': {'count': 1| 'size': 10.24}| 'add__1': {'count': 1| 'size': 10.24}| 'layer1': {'count': 1| 'size': 40.96}| 'inner_0': {'count': 1| 'size': 40.96}| 'rpn_parallel_f1': {'count': 1| 'size': 0.028}| 'rpn_parallel_f2': {'count': 1| 'size': 0.028}| 'rpn_parallel_f3': {'count': 1| 'size': 0.028}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'extra': {'count': 1| 'size': 0.1731}}
1750,1.8904098533101887,0,3,{'layer_3': {'count': 2| 'size': 0.64}| 'inner_3': {'count': 1| 'size': 0.64}| 'layer3': {'count': 1| 'size': 10.24}| 'inner_2': {'count': 1| 'size': 2.56}| 'add__2': {'count': 1| 'size': 2.56}| 'layer2': {'count': 1| 'size': 20.48}| 'inner_1': {'count': 1| 'size': 10.24}| 'add__1': {'count': 1| 'size': 10.24}| 'layer1': {'count': 1| 'size': 40.96}| 'inner_0': {'count': 1| 'size': 40.96}| 'rpn_parallel_f1': {'count': 1| 'size': 0.028}| 'rpn_parallel_f2': {'count': 1| 'size': 0.028}| 'rpn_parallel_f3': {'count': 1| 'size': 0.028}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'extra': {'count': 1| 'size': 0.1731}}
2000,2.979281505275736,0,3,{'layer_3': {'count': 2| 'size': 0.64}| 'inner_3': {'count': 1| 'size': 0.64}| 'layer3': {'count': 1| 'size': 10.24}| 'inner_2': {'count': 1| 'size': 2.56}| 'add__2': {'count': 1| 'size': 2.56}| 'layer2': {'count': 1| 'size': 20.48}| 'inner_1': {'count': 1| 'size': 10.24}| 'add__1': {'count': 1| 'size': 10.24}| 'layer1': {'count': 1| 'size': 40.96}| 'inner_0': {'count': 1| 'size': 40.96}| 'rpn_parallel_f1': {'count': 1| 'size': 0.028}| 'rpn_parallel_f2': {'count': 1| 'size': 0.028}| 'rpn_parallel_f3': {'count': 1| 'size': 0.028}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'extra': {'count': 1| 'size': 0.1731}}
2250,3.826181679026746,0,3,{'layer_3': {'count': 2| 'size': 0.64}| 'inner_3': {'count': 1| 'size': 0.64}| 'layer3': {'count': 1| 'size': 10.24}| 'inner_2': {'count': 1| 'size': 2.56}| 'add__2': {'count': 1| 'size': 2.56}| 'layer2': {'count': 1| 'size': 20.48}| 'inner_1': {'count': 1| 'size': 10.24}| 'add__1': {'count': 1| 'size': 10.24}| 'layer1': {'count': 1| 'size': 40.96}| 'inner_0': {'count': 1| 'size': 40.96}| 'rpn_parallel_f1': {'count': 1| 'size': 0.028}| 'rpn_parallel_f2': {'count': 1| 'size': 0.028}| 'rpn_parallel_f3': {'count': 1| 'size': 0.028}| 'rpn_parallel_f4': {'count': 1| 'size': 0.0142}| 'layer_1': {'count': 1| 'size': 10.24}| 'layer_2': {'count': 1| 'size': 2.56}| 'extra': {'count': 1| 'size': 0.1731}}
