bandwidth,optimizer,energy,device,payload
1000,15.734887957733662,0,5,{'reg_convs_2': {'count': 1| 'size': 0.1953}| 'stems_2': {'count': 1| 'size': 0.1953}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 1.5625}| 'stems_1': {'count': 1| 'size': 0.7812}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 3.125}| 'partial_out_0': {'count': 1| 'size': 0.6104}| 'partial_out_1': {'count': 1| 'size': 0.1526}}
1000,15.734887957733662,0,5,{'reg_convs_2': {'count': 1| 'size': 0.1953}| 'stems_2': {'count': 1| 'size': 0.1953}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 1.5625}| 'stems_1': {'count': 1| 'size': 0.7812}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 3.125}| 'partial_out_0': {'count': 1| 'size': 0.6104}| 'partial_out_1': {'count': 1| 'size': 0.1526}}
1000,15.734887957733662,0,5,{'reg_convs_2': {'count': 1| 'size': 0.1953}| 'stems_2': {'count': 1| 'size': 0.1953}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 1.5625}| 'stems_1': {'count': 1| 'size': 0.7812}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 3.125}| 'partial_out_0': {'count': 1| 'size': 0.6104}| 'partial_out_1': {'count': 1| 'size': 0.1526}}
1000,15.734887957733662,0,5,{'reg_convs_2': {'count': 1| 'size': 0.1953}| 'stems_2': {'count': 1| 'size': 0.1953}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 1.5625}| 'stems_1': {'count': 1| 'size': 0.7812}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 3.125}| 'partial_out_0': {'count': 1| 'size': 0.6104}| 'partial_out_1': {'count': 1| 'size': 0.1526}}
1000,15.734887957733662,0,5,{'reg_convs_2': {'count': 1| 'size': 0.1953}| 'stems_2': {'count': 1| 'size': 0.1953}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 1.5625}| 'stems_1': {'count': 1| 'size': 0.7812}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 3.125}| 'partial_out_0': {'count': 1| 'size': 0.6104}| 'partial_out_1': {'count': 1| 'size': 0.1526}}
1000,15.734887957733662,0,5,{'reg_convs_2': {'count': 1| 'size': 0.1953}| 'stems_2': {'count': 1| 'size': 0.1953}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 1.5625}| 'stems_1': {'count': 1| 'size': 0.7812}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 3.125}| 'partial_out_0': {'count': 1| 'size': 0.6104}| 'partial_out_1': {'count': 1| 'size': 0.1526}}
1000,15.734887957733662,0,5,{'reg_convs_2': {'count': 1| 'size': 0.1953}| 'stems_2': {'count': 1| 'size': 0.1953}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 1.5625}| 'stems_1': {'count': 1| 'size': 0.7812}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 3.125}| 'partial_out_0': {'count': 1| 'size': 0.6104}| 'partial_out_1': {'count': 1| 'size': 0.1526}}
1000,15.734887957733662,0,5,{'reg_convs_2': {'count': 1| 'size': 0.1953}| 'stems_2': {'count': 1| 'size': 0.1953}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 1.5625}| 'stems_1': {'count': 1| 'size': 0.7812}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 3.125}| 'partial_out_0': {'count': 1| 'size': 0.6104}| 'partial_out_1': {'count': 1| 'size': 0.1526}}
1000,15.734887957733662,0,5,{'reg_convs_2': {'count': 1| 'size': 0.1953}| 'stems_2': {'count': 1| 'size': 0.1953}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 1.5625}| 'stems_1': {'count': 1| 'size': 0.7812}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 3.125}| 'partial_out_0': {'count': 1| 'size': 0.6104}| 'partial_out_1': {'count': 1| 'size': 0.1526}}
1000,15.734887957733662,0,5,{'reg_convs_2': {'count': 1| 'size': 0.1953}| 'stems_2': {'count': 1| 'size': 0.1953}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 1.5625}| 'stems_1': {'count': 1| 'size': 0.7812}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 3.125}| 'partial_out_0': {'count': 1| 'size': 0.6104}| 'partial_out_1': {'count': 1| 'size': 0.1526}}
750,15.68744762251778,0,5,{'reg_convs_2': {'count': 1| 'size': 0.1953}| 'stems_2': {'count': 1| 'size': 0.1953}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 1.5625}| 'stems_1': {'count': 1| 'size': 0.7812}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 3.125}| 'partial_out_0': {'count': 1| 'size': 0.6104}| 'partial_out_1': {'count': 1| 'size': 0.1526}}
360,15.33187587295805,0,5,{'reg_convs_2': {'count': 1| 'size': 0.1953}| 'stems_2': {'count': 1| 'size': 0.1953}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 1.5625}| 'stems_1': {'count': 1| 'size': 0.7812}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 3.125}| 'partial_out_0': {'count': 1| 'size': 0.6104}| 'partial_out_1': {'count': 1| 'size': 0.1526}}
340,15.209563512050863,0,5,{'reg_convs_2': {'count': 1| 'size': 0.1953}| 'stems_2': {'count': 1| 'size': 0.1953}| 'reg_preds_2': {'count': 1| 'size': 0.0061}| 'obj_preds_2': {'count': 1| 'size': 0.0015}| 'C3_n3': {'count': 1| 'size': 1.5625}| 'stems_1': {'count': 1| 'size': 0.7812}| 'reg_preds_1': {'count': 1| 'size': 0.0244}| 'obj_preds_1': {'count': 1| 'size': 0.0061}| 'C3_p3': {'count': 1| 'size': 3.125}| 'partial_out_0': {'count': 1| 'size': 0.6104}| 'partial_out_1': {'count': 1| 'size': 0.1526}}
