bandwidth,time
250,5.010650000000001
500,5.010650000000001
750,5.010650000000001
1000,5.010650000000001
1250,5.109534210526324
1500,5.109534210526324
1750,5.1968552631579055
2000,5.1968552631579055
2250,5.1968552631579055
